id,violation_id,user_id,amount,method,date,status,reference_no
41,88,11,2500.0,Nagad,2026-01-11,completed,TXN100041
42,91,48,1000.0,Bank Transfer,2025-01-30,completed,TXN100042
43,92,48,3000.0,bKash,2023-11-18,completed,TXN100043
44,97,17,3500.0,bKash,2023-11-02,completed,TXN100044
45,99,35,3500.0,Bank Transfer,2025-04-14,completed,TXN100045
46,101,13,2500.0,Nagad,2024-11-07,completed,TXN100046
47,102,11,2500.0,Rocket,2025-02-24,completed,TXN100047
48,104,38,5000.0,Bank Transfer,2023-09-30,completed,TXN100048
49,106,4,3000.0,Card,2024-03-08,completed,TXN100049
50,109,34,1500.0,Card,2024-09-09,completed,TXN100050
51,111,29,2500.0,Rocket,2024-08-30,completed,TXN100051
52,112,26,2000.0,Bank Transfer,2025-09-19,completed,TXN100052
53,113,8,5000.0,Nagad,2026-02-20,completed,TXN100053
54,114,33,3000.0,Bank Transfer,2024-11-12,completed,TXN100054
55,118,18,2000.0,Bank Transfer,2025-06-07,completed,TXN100055
56,120,25,3500.0,Bank Transfer,2023-12-24,completed,TXN100056
57,121,37,2500.0,Nagad,2024-01-28,completed,TXN100057
58,122,37,3000.0,Nagad,2024-01-01,completed,TXN100058
59,123,3,10000.0,Card,2023-02-21,completed,TXN100059
60,127,18,1000.0,Bank Transfer,2023-11-07,completed,TXN100060
61,128,44,800.0,Card,2023-08-03,completed,TXN100061
62,134,8,5000.0,Bank Transfer,2025-03-14,completed,TXN100062
63,136,44,1500.0,bKash,2024-04-28,completed,TXN100063
64,137,6,1000.0,Bank Transfer,2023-02-09,completed,TXN100064
65,139,35,10000.0,Card,2025-01-29,completed,TXN100065
66,140,33,2000.0,Bank Transfer,2025-02-09,completed,TXN100066
67,144,25,3500.0,Card,2024-11-01,completed,TXN100067
68,146,25,3000.0,Rocket,2024-09-05,completed,TXN100068
69,147,33,1500.0,Nagad,2025-05-20,completed,TXN100069
70,150,40,3000.0,bKash,2024-08-24,completed,TXN100070
71,154,6,10000.0,bKash,2026-07-14,completed,TXN100071
72,156,48,3000.0,Rocket,2024-11-29,completed,TXN100072
73,157,19,1000.0,bKash,2026-06-19,completed,TXN100073
74,158,41,800.0,Rocket,2023-03-06,completed,TXN100074
75,162,11,3500.0,Bank Transfer,2025-06-23,completed,TXN100075
76,163,17,2500.0,Bank Transfer,2025-11-02,completed,TXN100076
77,164,5,3500.0,Rocket,2026-01-04,completed,TXN100077
78,173,31,10000.0,Rocket,2026-04-28,completed,TXN100078
79,175,17,1500.0,Bank Transfer,2026-06-23,completed,TXN100079
80,176,31,2000.0,bKash,2025-09-27,completed,TXN100080
81,177,38,3000.0,Nagad,2025-12-14,completed,TXN100081
82,178,6,1000.0,Bank Transfer,2024-07-27,completed,TXN100082
83,179,17,10000.0,Rocket,2025-02-19,completed,TXN100083
84,180,2,1500.0,Rocket,2024-04-23,completed,TXN100084
85,181,28,2000.0,Nagad,2024-11-09,completed,TXN100085
86,183,45,800.0,Rocket,2025-04-25,completed,TXN100086
87,185,35,800.0,bKash,2024-12-20,completed,TXN100087
88,186,43,500.0,Rocket,2025-11-12,completed,TXN100088
89,187,30,1500.0,Card,2023-07-27,completed,TXN100089
90,188,15,2500.0,bKash,2025-06-11,completed,TXN100090
91,190,7,500.0,Nagad,2023-09-08,completed,TXN100091
92,191,43,2000.0,Bank Transfer,2024-06-05,completed,TXN100092
93,192,21,3500.0,Rocket,2025-09-18,completed,TXN100093
94,193,29,2000.0,Rocket,2025-07-15,completed,TXN100094
95,195,38,800.0,Card,2026-06-16,completed,TXN100095
96,196,18,2000.0,bKash,2024-02-20,completed,TXN100096
97,197,35,1500.0,Nagad,2023-03-19,completed,TXN100097
98,198,33,2000.0,Rocket,2024-03-06,completed,TXN100098
99,204,29,5000.0,bKash,2026-03-24,completed,TXN100099
100,206,28,1000.0,Nagad,2026-01-27,completed,TXN100100
101,210,12,2500.0,Rocket,2024-03-16,completed,TXN100101
102,212,50,2000.0,Bank Transfer,2023-02-08,completed,TXN100102
103,218,20,2500.0,Rocket,2025-07-25,completed,TXN100103
104,221,9,500.0,Nagad,2024-11-03,completed,TXN100104
105,222,39,2000.0,Card,2026-07-25,completed,TXN100105
106,224,37,2500.0,Rocket,2023-01-27,completed,TXN100106
107,225,20,10000.0,Bank Transfer,2026-02-07,completed,TXN100107
108,232,8,1500.0,bKash,2024-10-19,completed,TXN100108
109,235,18,3000.0,bKash,2026-07-09,completed,TXN100109
110,236,37,2500.0,Rocket,2023-09-27,completed,TXN100110
111,237,40,2500.0,Nagad,2023-10-12,completed,TXN100111
112,240,20,10000.0,bKash,2024-05-15,completed,TXN100112
113,241,19,1500.0,Rocket,2024-10-23,completed,TXN100113
114,243,17,3000.0,bKash,2023-02-13,completed,TXN100114
115,246,28,3500.0,Card,2026-03-29,completed,TXN100115
116,252,48,10000.0,Card,2024-10-26,completed,TXN100116
117,253,13,500.0,Nagad,2023-05-08,completed,TXN100117
118,255,31,2000.0,Rocket,2024-04-09,completed,TXN100118
119,257,48,1500.0,Card,2023-10-07,completed,TXN100119
120,260,17,3000.0,Bank Transfer,2023-11-28,completed,TXN100120
121,262,45,1500.0,Bank Transfer,2026-07-16,completed,TXN100121
122,264,40,2000.0,Nagad,2025-01-12,completed,TXN100122
123,268,32,2500.0,Bank Transfer,2023-07-03,completed,TXN100123
124,272,22,800.0,Nagad,2026-08-14,completed,TXN100124
125,276,29,5000.0,Bank Transfer,2024-11-07,completed,TXN100125
126,277,34,10000.0,Bank Transfer,2025-12-15,completed,TXN100126
127,278,23,3000.0,Card,2023-03-26,completed,TXN100127
128,279,43,3500.0,Nagad,2024-08-08,completed,TXN100128
129,281,39,2000.0,bKash,2024-03-09,completed,TXN100129
130,282,3,2500.0,bKash,2023-06-28,completed,TXN100130
131,283,13,3500.0,Bank Transfer,2024-11-30,completed,TXN100131
132,284,15,800.0,Nagad,2025-07-04,completed,TXN100132
133,285,16,500.0,Nagad,2025-11-07,completed,TXN100133
134,286,35,5000.0,Bank Transfer,2026-05-30,completed,TXN100134
135,287,22,2000.0,Rocket,2023-03-30,completed,TXN100135
136,288,18,500.0,Rocket,2024-01-06,completed,TXN100136
137,290,47,2000.0,Bank Transfer,2024-08-01,completed,TXN100137
138,292,33,800.0,Bank Transfer,2026-07-17,completed,TXN100138
139,293,29,10000.0,Bank Transfer,2024-02-13,completed,TXN100139
140,295,27,800.0,Card,2023-01-20,completed,TXN100140
141,297,32,2500.0,Nagad,2025-05-10,completed,TXN100141
142,298,32,500.0,Rocket,2024-11-10,completed,TXN100142
143,300,29,3500.0,Rocket,2024-05-16,completed,TXN100143
