id,user_id,message,category,date,is_read
100,37,You have an unpaid fine of BDT 2415.,warning,2024-09-28 20:04:00,False
101,38,Your vehicle fitness certificate has expired.,alert,2025-07-13 20:05:00,False
102,39,Your document NID is due for renewal soon.,info,2025-01-03 01:34:00,True
103,39,Your vehicle fitness certificate has expired.,alert,2024-09-13 09:47:00,False
104,40,Your appeal has been submitted for review.,info,2026-07-23 08:00:00,False
105,40,Your vehicle fitness certificate has expired.,alert,2025-02-19 18:48:00,True
106,41,Your appeal has been submitted for review.,info,2024-08-21 07:46:00,True
107,41,Payment of BDT 4725 received successfully.,info,2025-08-24 17:48:00,False
108,41,Payment of BDT 1203 received successfully.,info,2024-11-16 06:27:00,False
109,41,You have an unpaid fine of BDT 4186.,warning,2026-05-23 17:01:00,False
110,42,Your appeal has been submitted for review.,info,2026-01-25 00:31:00,False
111,42,Your vehicle fitness certificate has expired.,alert,2025-03-11 21:48:00,False
112,43,Your vehicle fitness certificate has expired.,alert,2025-08-04 01:59:00,True
113,43,You have an unpaid fine of BDT 3702.,warning,2025-01-25 06:25:00,True
114,43,Your appeal has been submitted for review.,info,2025-05-01 03:21:00,False
115,43,Your vehicle fitness certificate has expired.,alert,2024-04-16 21:35:00,True
116,43,Your document Insurance is due for renewal soon.,info,2024-01-28 05:12:00,True
117,44,Your vehicle fitness certificate has expired.,alert,2024-10-25 21:33:00,True
118,44,Payment of BDT 3519 received successfully.,info,2025-06-14 00:10:00,False
119,44,Payment of BDT 1786 received successfully.,info,2024-04-23 04:34:00,False
120,44,Payment of BDT 1063 received successfully.,info,2025-02-02 06:08:00,True
121,45,Payment of BDT 4389 received successfully.,info,2024-06-11 19:36:00,False
122,45,Your appeal has been submitted for review.,info,2026-01-03 21:29:00,False
123,45,You have an unpaid fine of BDT 1668.,warning,2025-04-01 02:52:00,False
124,46,You have an unpaid fine of BDT 3194.,warning,2026-07-21 18:56:00,False
125,46,Payment of BDT 820 received successfully.,info,2026-01-24 02:18:00,False
126,46,Your vehicle fitness certificate has expired.,alert,2025-02-04 19:52:00,True
127,46,Payment of BDT 1971 received successfully.,info,2026-07-10 19:46:00,False
128,46,Payment of BDT 2002 received successfully.,info,2025-12-16 18:06:00,False
129,47,You have an unpaid fine of BDT 2742.,warning,2026-06-22 20:34:00,False
130,48,You have an unpaid fine of BDT 3869.,warning,2026-02-19 17:07:00,False
131,49,Your document Tax Token is due for renewal soon.,info,2025-02-23 14:10:00,False
132,50,Your appeal has been submitted for review.,info,2024-01-28 02:40:00,False
133,50,Payment of BDT 3771 received successfully.,info,2026-05-26 06:25:00,True
