id,owner_id,reg_number,make,model,year,vehicle_type,engine_no,chassis_no,status,registered_on
68,48,SYLHET-KA-48-2996-783,Bajaj RE,Standard,2015,CNG,ENG-38267586,CHS-9261796405,active,2023-11-26
69,41,KHULNA-CHA-78-1269-8444,Tata,LPT 1613,2015,Truck,ENG-37735158,CHS-5064317139,active,2018-04-08
70,29,CHATTOGRAM METRO-CHA-63-4068-1403,Suzuki,Swift,2024,Car,ENG-00532931,CHS-8393352904,scrapped,2015-10-05
71,35,KHULNA-GA-91-7338-6117,Bajaj RE,Standard,2016,CNG,ENG-22842102,CHS-0539502402,active,2019-01-02
72,6,RAJSHAHI-KHA-27-1726-5773,Ashok Leyland,Viking,2025,Bus,ENG-68117758,CHS-9178390847,active,2022-03-17
73,13,CHATTOGRAM METRO-KA-18-8498-606,Hino,Ranger,2017,Truck,ENG-00766177,CHS-1159212499,active,2023-11-15
74,14,RAJSHAHI-GHA-79-8756-4151,Hyundai,Tucson,2009,Car,ENG-85698478,CHS-9611836736,active,2017-02-21
75,20,SYLHET-GA-57-8159-6554,Ashok Leyland,Viking,2022,Bus,ENG-57661565,CHS-4527111161,suspended,2019-05-03
76,23,SYLHET-CHA-44-2353-6956,TVS,Apache,2010,Motorcycle,ENG-52809885,CHS-1656049451,active,2024-03-22
77,13,DHAKA METRO-GA-51-5843-5022,Bajaj RE,Standard,2022,CNG,ENG-98327315,CHS-8514936899,active,2019-10-12
78,12,DHAKA METRO-KHA-88-8126-4499,Isuzu,Elf,2009,Truck,ENG-80940244,CHS-5502296120,active,2022-02-24
79,27,DHAKA METRO-KA-87-8179-571,Hino,Ranger,2012,Bus,ENG-18366752,CHS-5459910229,active,2023-09-24
80,43,RAJSHAHI-GA-87-3513-7372,Tata,Ace,2019,Bus,ENG-01476797,CHS-6438156149,active,2023-07-23
81,6,KHULNA-KHA-93-5566-4090,Bajaj RE,Standard,2011,CNG,ENG-78403690,CHS-0343244510,active,2017-02-01
82,33,SYLHET-KHA-67-4515-4679,Bajaj RE,Standard,2023,CNG,ENG-76226838,CHS-8516060715,active,2016-07-09
83,6,DHAKA METRO-KHA-95-6692-1064,Tata,Ace,2025,Truck,ENG-96966416,CHS-0529751613,active,2024-12-29
84,21,RAJSHAHI-KA-25-4292-2276,Honda,City,2015,Motorcycle,ENG-69681645,CHS-3521818835,active,2015-04-18
85,25,RAJSHAHI-KA-88-2412-1078,Bajaj RE,Standard,2017,CNG,ENG-52312432,CHS-9212779979,active,2023-01-15
86,48,KHULNA-CHA-19-3053-5195,Hino,Ranger,2010,Truck,ENG-95527177,CHS-4490581477,active,2022-08-17
87,35,CHATTOGRAM METRO-GHA-74-1907-2035,Ashok Leyland,Viking,2024,Bus,ENG-00541199,CHS-8679807935,active,2016-11-05
88,12,SYLHET-CHA-46-2292-4106,Hino,Ranger,2014,Bus,ENG-97820715,CHS-1820377889,active,2021-03-06
89,19,RAJSHAHI-GA-74-3762-9697,Bajaj,RE,2012,Motorcycle,ENG-25546659,CHS-0515186449,active,2022-01-01
90,48,DHAKA METRO-GA-15-5336-3454,Bajaj RE,Standard,2021,CNG,ENG-25192546,CHS-2914865281,active,2015-05-05
91,33,KHULNA-KA-97-7653-4874,Bajaj RE,Standard,2022,CNG,ENG-68505423,CHS-5733221418,active,2015-09-03
92,12,KHULNA-KA-53-3353-5122,Isuzu,Elf,2018,Truck,ENG-88059296,CHS-2229270653,active,2024-08-26
93,24,RAJSHAHI-CHA-23-6228-3961,Tata,Ace,2022,Truck,ENG-79473834,CHS-7359774688,active,2020-01-16
94,17,SYLHET-GHA-88-7850-4068,Yamaha,FZ,2013,Motorcycle,ENG-62392407,CHS-5818141247,active,2025-06-21
95,38,KHULNA-CHA-69-9171-5056,Ashok Leyland,Viking,2023,Bus,ENG-82613750,CHS-6068536153,active,2019-05-30
96,34,RAJSHAHI-KHA-16-1828-4610,Tata,LPT 1613,2023,Truck,ENG-05152204,CHS-7277901043,active,2024-06-14
97,43,DHAKA METRO-GHA-27-5333-5993,Isuzu,Elf,2020,Truck,ENG-28986143,CHS-4103697117,active,2019-06-29
98,5,RAJSHAHI-KHA-19-7329-8262,Bajaj RE,Standard,2022,CNG,ENG-98089324,CHS-6095396218,active,2018-02-19
99,41,DHAKA METRO-GHA-57-6555-9140,Bajaj RE,Standard,2019,CNG,ENG-51888880,CHS-6706540515,active,2017-03-26
100,40,DHAKA METRO-GA-27-6456-7762,Bajaj RE,Standard,2024,CNG,ENG-31952058,CHS-5277221704,active,2021-10-19
101,34,SYLHET-KA-60-5902-9728,Bajaj,RE,2018,Motorcycle,ENG-30305486,CHS-8740345054,active,2020-09-18
102,36,KHULNA-GA-57-6427-1796,Hino,Ranger,2021,Truck,ENG-15667652,CHS-7758416169,active,2023-12-08
103,48,SYLHET-CHA-83-4728-842,Suzuki,Swift,2023,Car,ENG-28451154,CHS-4796275705,active,2022-01-20
104,48,CHATTOGRAM METRO-GA-83-2800-3126,Bajaj RE,Standard,2008,CNG,ENG-96401658,CHS-2029702135,active,2019-09-12
105,11,KHULNA-CHA-88-8726-1021,Hino,Ranger,2012,Truck,ENG-56909275,CHS-5719285654,active,2021-04-16
106,22,SYLHET-KA-68-9734-5609,Hino,Ranger,2025,Truck,ENG-31027868,CHS-1447394731,active,2023-08-29
107,48,CHATTOGRAM METRO-KA-45-5890-3685,Hino,Ranger,2017,Bus,ENG-21727155,CHS-1884422583,active,2022-11-27
108,15,SYLHET-CHA-45-5715-1997,Isuzu,Elf,2025,Truck,ENG-13237058,CHS-9578291146,active,2019-06-05
109,24,SYLHET-GA-54-8247-4202,Bajaj,Pulsar,2023,Motorcycle,ENG-78669125,CHS-1778528922,active,2024-04-14
110,36,CHATTOGRAM METRO-GA-88-4920-3973,Hino,Ranger,2009,Bus,ENG-68018242,CHS-2535841438,active,2020-12-15
111,16,KHULNA-KHA-70-2647-2253,Yamaha,FZ,2008,Motorcycle,ENG-42498182,CHS-9922995900,scrapped,2025-06-02
112,12,KHULNA-KA-46-6262-4677,Hino,Ranger,2009,Truck,ENG-10943969,CHS-0784473647,suspended,2016-01-02
113,43,CHATTOGRAM METRO-GHA-32-1595-6505,Bajaj RE,Standard,2023,CNG,ENG-10276773,CHS-5925556258,active,2023-05-26
114,20,RAJSHAHI-CHA-23-6489-4663,Toyota,Premio,2022,Car,ENG-81537147,CHS-3210469632,scrapped,2021-02-03
115,35,SYLHET-KA-24-6417-2663,Tata,Ace,2022,Truck,ENG-59532787,CHS-7470168733,active,2023-01-22
116,13,RAJSHAHI-KA-32-7643-7008,Hyundai,Tucson,2024,Car,ENG-95004797,CHS-4801624565,active,2019-06-30
117,44,KHULNA-KHA-41-1111-4273,Honda,Civic,2020,Car,ENG-06098358,CHS-4168784991,active,2023-06-15
118,19,SYLHET-KHA-98-4871-1018,Tata,LPT 1613,2011,Bus,ENG-21655852,CHS-3986800025,active,2016-10-16
119,27,SYLHET-KHA-88-4618-3591,Bajaj RE,Standard,2012,CNG,ENG-78729825,CHS-9526949588,active,2020-02-07
120,49,RAJSHAHI-GHA-78-4578-4055,Bajaj RE,Standard,2010,CNG,ENG-87947055,CHS-1694097499,active,2020-12-03
121,47,DHAKA METRO-CHA-74-4312-9384,Ashok Leyland,Viking,2025,Bus,ENG-30972896,CHS-2309130756,active,2018-09-05
122,35,RAJSHAHI-GHA-21-9361-7299,Tata,LPT 1613,2009,Truck,ENG-26368970,CHS-2838578652,active,2020-10-03
123,28,RAJSHAHI-GHA-96-6049-357,Hino,Ranger,2020,Truck,ENG-78585497,CHS-3348434437,active,2015-01-13
124,49,DHAKA METRO-GHA-54-2044-8867,Hero,Splendor,2009,Motorcycle,ENG-57584419,CHS-8665240415,suspended,2015-10-10
125,32,CHATTOGRAM METRO-KA-92-7887-6136,Hyundai,Tucson,2020,Car,ENG-74733848,CHS-4219933083,active,2025-04-14
126,26,SYLHET-GA-32-9802-6440,Tata,LPT 1613,2024,Truck,ENG-30165712,CHS-0826773454,active,2017-07-01
127,2,RAJSHAHI-GHA-78-7214-3763,Hyundai,Tucson,2015,Car,ENG-01938026,CHS-2067240049,active,2016-09-27
128,19,KHULNA-CHA-12-4943-3377,Yamaha,FZ,2010,Motorcycle,ENG-91547887,CHS-2874315274,active,2015-05-18
129,30,DHAKA METRO-GHA-66-4839-8844,Bajaj RE,Standard,2014,CNG,ENG-20549329,CHS-6685161227,active,2023-09-14
130,5,CHATTOGRAM METRO-CHA-50-6253-3882,Hero,Hunk,2017,Motorcycle,ENG-53046374,CHS-5499045301,suspended,2022-05-28
131,35,SYLHET-GA-81-3869-7000,TVS,Apache,2025,Motorcycle,ENG-74268414,CHS-5933272795,active,2018-11-11
132,43,KHULNA-GHA-29-5913-6168,Hino,Ranger,2013,Truck,ENG-68783391,CHS-8785191088,active,2020-04-23
133,17,CHATTOGRAM METRO-GHA-17-7761-6825,Bajaj,RE,2025,Motorcycle,ENG-39822587,CHS-1397187072,active,2019-05-10
134,17,DHAKA METRO-GHA-57-2514-8776,Ashok Leyland,Viking,2014,Bus,ENG-86790874,CHS-0640391065,active,2019-03-25
135,45,CHATTOGRAM METRO-CHA-95-4555-7855,Bajaj RE,Standard,2014,CNG,ENG-18017046,CHS-2265676618,suspended,2018-09-25
136,21,DHAKA METRO-GHA-41-4350-6499,Honda,Civic,2015,Car,ENG-25128682,CHS-3004786863,active,2023-09-12
137,20,SYLHET-KHA-56-9401-8148,Isuzu,Elf,2022,Truck,ENG-37524310,CHS-6903311907,active,2023-02-07
138,32,SYLHET-GHA-15-4625-2391,Ashok Leyland,Viking,2008,Bus,ENG-90306738,CHS-3028439599,active,2025-06-25
139,39,CHATTOGRAM METRO-KA-52-4768-6224,Bajaj RE,Standard,2015,CNG,ENG-53428364,CHS-4089268705,active,2022-05-05
140,45,KHULNA-GHA-31-6770-2774,Tata,Ace,2012,Bus,ENG-68566246,CHS-2873342708,active,2020-06-23
141,13,DHAKA METRO-GA-10-7756-2253,Bajaj RE,Standard,2015,CNG,ENG-66882634,CHS-3517518304,active,2016-09-10
142,2,SYLHET-GA-89-8916-7994,Hero,Hunk,2008,Motorcycle,ENG-69901398,CHS-3735403317,active,2021-03-09
143,28,RAJSHAHI-KHA-12-9228-7055,Toyota,Premio,2013,Car,ENG-39363854,CHS-6785445877,active,2016-01-30
144,35,RAJSHAHI-CHA-42-6807-4380,Honda,Civic,2020,Motorcycle,ENG-17535560,CHS-9320489964,active,2019-07-22
145,31,SYLHET-GA-93-1519-1532,Bajaj RE,Standard,2020,CNG,ENG-23536937,CHS-8547772522,active,2021-03-13
146,32,DHAKA METRO-GHA-65-6427-9271,Toyota,Axio,2011,Car,ENG-87280801,CHS-0062312038,suspended,2025-04-22
147,4,RAJSHAHI-GHA-44-1762-1219,Honda,CB Shine,2016,Motorcycle,ENG-75099770,CHS-0886008484,suspended,2021-04-27
148,44,DHAKA METRO-KA-85-3362-6526,Honda,City,2010,Car,ENG-08621182,CHS-3398454615,active,2021-04-28
149,17,KHULNA-KA-98-2284-8205,Bajaj RE,Standard,2019,CNG,ENG-67933410,CHS-1666870021,active,2019-11-26
150,16,SYLHET-GA-91-5478-7382,Hyundai,Tucson,2023,Car,ENG-76591803,CHS-3974014890,active,2021-03-15
